gene_symbol	identifier	clan	prd_score	netto_dup	orthologs_cnt	human_dup	human_frac	human_protein_cnt
SEC31B	ENSGT00390000003175_ENSG00000075826_ANAPC4_WD40	Beta_propeller	-0.0932419806914	2	13	1	0.5	1
TATDN2	ENSGT00720000108776_ENSG00000157014	motif	-0.151518218623	2	8	1	0.5	2
AC022400.7	ENSGT00760000119023_ENSG00000272916	motif	-0.0757591093117	2	16	1	0.5	2
TPTEP2-CSNK1E	ENSGT00920000148982_ENSG00000283900	motif	-0.0713026911169	2	17	1	0.5	2
AC022384.1	ENSGT00720000108776_ENSG00000272410	motif	-0.151518218623	2	8	1	0.5	2
DAZL	ENSGT00530000063480_ENSG00000092345_RRM_1	RRM	-0.0673414304993	2	18	1	0.5	5
ZNF784	ENSGT00910000144318_ENSG00000179922_zf-H2C2_2	C2H2-zf	4.94696356275	23	4	10	0.434782608696	2
NUTM2D	ENSGT00410000025793_ENSG00000214562	motif	0.178785425101	5	10	2	0.4	7
KLF3	ENSGT00760000118998_ENSG00000109787_zf-C2H2	C2H2-zf	-0.0151532677848	3	14	1	0.333333333333	1
RCOR3	ENSGT00840000129748_ENSG00000117625_Myb_DNA-bind_7	HTH	-0.0151532677848	3	14	1	0.333333333333	1
ZNF683	ENSGT00880000137973_ENSG00000176083_zf-C2H2	C2H2-zf	-0.053036437247	3	4	1	0.333333333333	1
KLF6	ENSGT00760000118998_ENSG00000067082_zf-C2H2	C2H2-zf	-0.0141430499325	3	15	1	0.333333333333	1
HNF1B	ENSGT00920000149039_ENSG00000275410	motif	-0.0141430499325	3	15	1	0.333333333333	1
ATP2B1	ENSGT00510000046331_ENSG00000070961	motif	-0.0124791617052	3	17	1	0.333333333333	1
TEAD4	ENSGT00390000008670_ENSG00000197905	motif	-0.0192859771807	3	11	1	0.333333333333	1
KDM3A	ENSGT00530000063039_ENSG00000115548	motif	-0.0192859771807	3	11	1	0.333333333333	1
TBC1D4	ENSGT00750000117238_ENSG00000136111	motif	-0.0151532677848	3	14	1	0.333333333333	1
PIP5K1C	ENSGT00760000119184_ENSG00000186111	motif	-0.0132591093117	3	16	1	0.333333333333	1
STKLD1	ENSGT00390000018038_ENSG00000198870	motif	-0.0176788124157	3	12	1	0.333333333333	1
SATB1	ENSGT00390000008096_ENSG00000182568	motif	-0.0141430499325	3	15	1	0.333333333333	1
TUB	ENSGT00610000085970_ENSG00000166402	motif	-0.0151532677848	3	14	1	0.333333333333	1
PKNOX2	ENSGT00550000074260_ENSG00000165495	motif	-0.0141430499325	3	15	1	0.333333333333	1
JARID2	ENSGT00530000063118_ENSG00000008083	motif	-0.0132591093117	3	16	1	0.333333333333	1
EZH1	ENSGT00780000121845_ENSG00000108799	motif	-0.0176788124157	3	12	1	0.333333333333	1
DENND5A	ENSGT00760000118819_ENSG00000184014	motif	-0.0151532677848	3	14	1	0.333333333333	1
RGS11	ENSGT00760000119142_ENSG00000076344	motif	-0.0176788124157	3	12	1	0.333333333333	1
WAPL	ENSGT00390000015768_ENSG00000062650	motif	-0.0117858749438	3	18	1	0.333333333333	1
P2RX2	ENSGT00390000016028_ENSG00000187848	motif	-0.053036437247	3	4	1	0.333333333333	1
HPCAL4	ENSGT00760000118820_ENSG00000116983_EF-hand_7	EF_hand	-0.0163189037683	3	13	1	0.333333333333	1
NANOGP8	ENSGT00670000098076_ENSG00000255192	motif	-0.0192859771807	3	11	1	0.333333333333	2
AC068547.1	ENSGT00390000002740_ENSG00000283228	motif	-0.0124791617052	3	17	1	0.333333333333	2
USP27X	ENSGT00890000139343_ENSG00000273820	motif	-0.0111655657362	3	19	1	0.333333333333	3
SRGAP2B	ENSGT00760000118863_ENSG00000196369	motif	-0.0141430499325	3	15	1	0.333333333333	3
TRIOBP	ENSGT00530000063678_ENSG00000100106	motif	19.4469635628	81	4	24	0.296296296296	1
KCTD9	ENSGT00530000062980_ENSG00000104756_Pentapeptide	Pentapeptide	0.299240890688	8	16	2	0.25	1
DLEC1	ENSGT00390000006098_ENSG00000008226_ASH	PapD-like	0.0562753036437	4	14	1	0.25	1
NOVA1	ENSGT00760000119144_ENSG00000139910_KH_1	KH	0.0716231137284	4	11	1	0.25	1
TNKS2	ENSGT00840000129677_ENSG00000107854_Ank_2	Ank	0.0656545209177	4	12	1	0.25	1
TEAD1	ENSGT00390000008670_ENSG00000187079	motif	0.0562753036437	4	14	1	0.25	1
TCF4	ENSGT00510000046438_ENSG00000196628	motif	0.0606041731548	4	13	1	0.25	1
NAB1	ENSGT00390000006330_ENSG00000138386	motif	0.0562753036437	4	14	1	0.25	1
PHLDB3	ENSGT00530000063148_ENSG00000176531	motif	0.112550607287	4	7	1	0.25	1
PLSCR3	ENSGT00390000002884_ENSG00000187838	motif	0.112550607287	4	7	1	0.25	1
KCNQ4	ENSGT00550000074513_ENSG00000117013	motif	0.0606041731548	4	13	1	0.25	1
CPEB2	ENSGT00390000012886_ENSG00000137449	motif	0.0525236167341	4	15	1	0.25	1
FRMD4A	ENSGT00920000149019_ENSG00000151474	motif	0.0562753036437	4	14	1	0.25	1
NR0B1	ENSGT00390000015719_ENSG00000169297_NR_Repeat	NR_Repeat	0.0656545209177	4	12	1	0.25	1
RTL5	ENSGT00510000047956_ENSG00000242732	motif	0.797975708502	8	6	2	0.25	3
BMI1	ENSGT00550000074463_ENSG00000168283	motif	0.0492408906883	4	16	1	0.25	2
RABGEF1	ENSGT00530000063341_ENSG00000154710	motif	0.0463443677066	4	17	1	0.25	2
NUTM2A	ENSGT00410000025793_ENSG00000184923	motif	0.0787854251012	4	10	1	0.25	7
RBBP5	ENSGT00530000064100_ENSG00000117222_WD40	Beta_propeller	0.413418160787	9	14	2	0.222222222222	1
DOK5	ENSGT00730000110348_ENSG00000101134	motif	0.617077659183	10	11	2	0.2	1
S100G	ENSGT00530000064238_ENSG00000169906_EF-hand_1	EF_hand	0.446963562753	5	4	1	0.2	1
GLI2	ENSGT00900000140802_ENSG00000074047_zf-C2H2	C2H2-zf	0.111740890688	5	16	1	0.2	1
TRAF4	ENSGT00550000074359_ENSG00000076604_zf-TRAF	TRAF	0.148987854251	5	12	1	0.2	1
ATP6V1H	ENSGT00390000003289_ENSG00000047249_Arm	TPR	0.111740890688	5	16	1	0.2	1
GRIA2	ENSGT00910000143978_ENSG00000120251	motif	0.111740890688	5	16	1	0.2	1
TTLL11	ENSGT00760000118951_ENSG00000175764	motif	0.148987854251	5	12	1	0.2	1
MED12	ENSGT00440000037505_ENSG00000184634	motif	0.148987854251	5	12	1	0.2	1
PPFIA1	ENSGT00760000119138_ENSG00000131626_SAM_1	SAM	0.127703875072	5	14	1	0.2	1
TIGD5	ENSGT00760000119149_ENSG00000179886	motif	0.223481781377	5	8	1	0.2	1
LSP1	ENSGT00730000111324_ENSG00000130592	motif	0.297975708502	5	6	1	0.2	1
GAPVD1	ENSGT00530000063341_ENSG00000165219	motif	0.137527250078	5	13	1	0.2	1
RDX	ENSGT00920000148976_ENSG00000137710	motif	0.127703875072	5	14	1	0.2	1
FNIP2	ENSGT00390000009391_ENSG00000052795	motif	0.148987854251	5	12	1	0.2	1
ZBTB25	ENSGT00850000132316_ENSG00000089775_zf-C2H2	C2H2-zf	0.127703875072	5	14	1	0.2	1
SNAI2	ENSGT00390000011027_ENSG00000019549_zf-C2H2	C2H2-zf	0.119190283401	5	15	1	0.2	1
DCAF8	ENSGT00530000062951_ENSG00000132716_WD40	Beta_propeller	0.399285544177	10	17	2	0.2	4
NUTM2E	ENSGT00410000025793_ENSG00000228570	motif	0.178785425101	5	10	1	0.2	7
ZNF691	ENSGT00840000129916_ENSG00000164011_zf-H2C2_2	C2H2-zf	3.47348178138	31	8	6	0.193548387097	3
PRDM10	ENSGT00920000149092_ENSG00000170325_zf-C2H2	C2H2-zf	0.199132446501	6	14	1	0.166666666667	1
FSTL3	ENSGT00440000033501_ENSG00000070404	motif	0.214450327001	6	13	1	0.166666666667	1
PDCD7	ENSGT00390000017392_ENSG00000090470	motif	0.696963562753	6	4	1	0.166666666667	1
MTHFR	ENSGT00390000012490_ENSG00000177000	motif	0.199132446501	6	14	1	0.166666666667	1
SYNC	ENSGT00390000018108_ENSG00000162520	motif	0.696963562753	6	4	1	0.166666666667	1
SYT10	ENSGT00760000118973_ENSG00000110975	motif	0.232321187584	6	12	1	0.166666666667	1
NDUFS3	ENSGT00390000017480_ENSG00000213619	motif	0.199132446501	6	14	1	0.166666666667	1
CPSF3	ENSGT00910000144162_ENSG00000119203	motif	0.174240890688	6	16	1	0.166666666667	1
TBC1D9	ENSGT00760000119137_ENSG00000109436	motif	0.174240890688	6	16	1	0.166666666667	1
MRPS2	ENSGT00390000017382_ENSG00000122140	motif	0.214450327001	6	13	1	0.166666666667	1
AGO4	ENSGT00760000119148_ENSG00000134698	motif	0.199132446501	6	14	1	0.166666666667	1
KAT6B	ENSGT00920000148999_ENSG00000156650	motif	0.214450327001	6	13	1	0.166666666667	1
TPR	ENSGT00730000111014_ENSG00000047410_TPR_MLP1_2	TPR_MLP1_2	0.139392712551	6	20	1	0.166666666667	1
TRAM1L1	ENSGT00510000046470_ENSG00000174599	motif	0.185856950067	6	15	1	0.166666666667	2
LDOC1	ENSGT00510000047956_ENSG00000182195	motif	0.464642375169	6	6	1	0.166666666667	3
ELN	ENSGT00730000111510_ENSG00000049540	motif	1.97348178138	19	8	3	0.157894736842	1
PLIN4	ENSGT00500000044795_ENSG00000167676_Perilipin	Perilipin	13.0875393612	121	9	19	0.157024793388	1
SBSN	ENSGT00440000039148_ENSG00000189001	motif	11.2979757085	71	6	11	0.154929577465	1
SPRR3	ENSGT00730000111065_ENSG00000163209_Cornifin	Cornifin	3.5787854251	39	10	6	0.153846153846	3
INF2	ENSGT00760000118986_ENSG00000203485	motif	0.829834942386	14	13	2	0.142857142857	1
HIVEP2	ENSGT00530000063161_ENSG00000010818_zf-C2H2	C2H2-zf	0.222814955942	7	17	1	0.142857142857	1
KLHL12	ENSGT00760000118931_ENSG00000117153_Kelch_1	Beta_propeller	0.252523616734	7	15	1	0.142857142857	1
OPTN	ENSGT00530000063808_ENSG00000123240_NEMO	NEMO	0.270561017929	7	14	1	0.142857142857	1
EGR3	ENSGT00550000074455_ENSG00000179388_zf-H2C2_2	C2H2-zf	0.315654520918	7	12	1	0.142857142857	1
PSMD1	ENSGT00550000074915_ENSG00000173692_PC_rep	TPR	0.252523616734	7	15	1	0.142857142857	1
MSL3	ENSGT00730000111072_ENSG00000005302	motif	0.291373403924	7	13	1	0.142857142857	1
GALNT1	ENSGT00760000118828_ENSG00000141429	motif	0.270561017929	7	14	1	0.142857142857	1
POLDIP2	ENSGT00390000010198_ENSG00000004142	motif	0.291373403924	7	13	1	0.142857142857	1
CHMP7	ENSGT00720000108860_ENSG00000147457	motif	0.270561017929	7	14	1	0.142857142857	1
PIR	ENSGT00390000008044_ENSG00000087842	motif	0.315654520918	7	12	1	0.142857142857	1
GTPBP4	ENSGT00390000018475_ENSG00000107937	motif	0.270561017929	7	14	1	0.142857142857	1
FRMD5	ENSGT00760000118823_ENSG00000171877	motif	0.236740890688	7	16	1	0.142857142857	1
MAB21L2	ENSGT00510000046791_ENSG00000181541	motif	0.315654520918	7	12	1	0.142857142857	1
DOT1L	ENSGT00390000013515_ENSG00000104885	motif	0.270561017929	7	14	1	0.142857142857	1
RTL8C	ENSGT00510000047956_ENSG00000134590	motif	0.631309041835	7	6	1	0.142857142857	3
KRTAP1-5	ENSGT00730000111060_ENSG00000221852_Keratin_B2	Keratin_assoc	0.420872694557	7	9	1	0.142857142857	4
PRR36	ENSGT00730000111448_ENSG00000183248	motif	12.1575708502	64	5	9	0.140625	1
USP9Y	ENSGT00760000119158_ENSG00000114374	motif	1.68397917872	15	7	2	0.133333333333	2
TCOF1	ENSGT00730000111382_ENSG00000070814_Treacle	Treacle	4.11255060729	32	7	4	0.125	1
MYBL1	ENSGT00390000001038_ENSG00000185697_Myb_DNA-binding	HTH	0.341989589358	8	14	1	0.125	1
ITGB5	ENSGT00760000119064_ENSG00000082781_EGF_2	EGF	0.319190283401	8	15	1	0.125	1
NCKIPSD	ENSGT00390000015725_ENSG00000213672	motif	0.341989589358	8	14	1	0.125	1
CNPPD1	ENSGT00390000000862_ENSG00000115649	motif	0.368296480847	8	13	1	0.125	1
STX5	ENSGT00390000000652_ENSG00000162236	motif	0.368296480847	8	13	1	0.125	1
USP35	ENSGT00890000139367_ENSG00000118369	motif	0.531983805668	8	9	1	0.125	1
SMG1	ENSGT00920000149065_ENSG00000157106	motif	0.319190283401	8	15	1	0.125	1
ARCN1	ENSGT00390000017207_ENSG00000095139	motif	0.299240890688	8	16	1	0.125	1
SLC39A9	ENSGT00390000010094_ENSG00000029364	motif	0.319190283401	8	15	1	0.125	1
USP15	ENSGT00670000097750_ENSG00000135655	motif	0.398987854251	8	12	1	0.125	1
CACTIN	ENSGT00390000000097_ENSG00000105298	motif	0.341989589358	8	14	1	0.125	1
HTATIP2	ENSGT00390000008184_ENSG00000109854	motif	0.398987854251	8	12	1	0.125	1
SLC52A2	ENSGT00390000003774_ENSG00000185803	motif	0.398987854251	8	12	1	0.125	2
TMEM185B	ENSGT00390000008194_ENSG00000226479	motif	0.319190283401	8	15	1	0.125	2
FBXO31	ENSGT00390000001368_ENSG00000103264	motif	0.319190283401	8	15	1	0.125	2
PRDM9	ENSGT00530000063157_ENSG00000164256_zf-H2C2_2	C2H2-zf	6.98585695007	108	15	13	0.12037037037	7
SON	ENSGT00730000111141_ENSG00000159140	motif	5.44696356275	25	4	3	0.12	1
ZNF561	ENSGT00910000144146_ENSG00000171469_zf-H2C2_2	C2H2-zf	4.9191902834	77	15	9	0.116883116883	9
TIAL1	ENSGT00910000144106_ENSG00000151923_RRM_1	RRM	0.413418160787	9	14	1	0.111111111111	1
CGN	ENSGT00730000110843_ENSG00000143375_Myosin_tail_1	Myosin_tail_1	0.361740890688	9	16	1	0.111111111111	1
KCTD4	ENSGT00760000119013_ENSG00000180332	motif	0.413418160787	9	14	1	0.111111111111	1
GPATCH2L	ENSGT00410000025698_ENSG00000089916	motif	0.526168568274	9	11	1	0.111111111111	1
KCTD21	ENSGT00760000119013_ENSG00000188997	motif	0.578785425101	9	10	1	0.111111111111	1
KCNN4	ENSGT00500000044784_ENSG00000104783	motif	0.578785425101	9	10	1	0.111111111111	1
MON2	ENSGT00390000013286_ENSG00000061987	motif	0.413418160787	9	14	1	0.111111111111	1
UFD1	ENSGT00390000002408_ENSG00000070010	motif	0.44521955777	9	13	1	0.111111111111	1
RIPK2	ENSGT00550000074536_ENSG00000104312	motif	0.482321187584	9	12	1	0.111111111111	1
COL4A5	ENSGT00900000140804_ENSG00000188153_Collagen	Collagen	0.413418160787	9	14	1	0.111111111111	1
CLPX	ENSGT00390000017625_ENSG00000166855	motif	0.385856950067	9	15	1	0.111111111111	1
SPOPL	ENSGT00390000000361_ENSG00000144228	motif	0.413418160787	9	14	1	0.111111111111	1
NR4A3	ENSGT00760000118887_ENSG00000119508	motif	0.413418160787	9	14	1	0.111111111111	1
STON2	ENSGT00900000141022_ENSG00000140022	motif	0.482321187584	9	12	1	0.111111111111	1
RPN1	ENSGT00390000009630_ENSG00000163902	motif	0.385856950067	9	15	1	0.111111111111	1
PRPF3	ENSGT00390000011497_ENSG00000117360	motif	0.44521955777	9	13	1	0.111111111111	1
FLCN	ENSGT00390000009864_ENSG00000154803	motif	0.413418160787	9	14	1	0.111111111111	2
ZFP82	ENSGT00840000129704_ENSG00000181007_zf-H2C2_2	C2H2-zf	2.8705802969	141	48	15	0.106382978723	24
CCDC124	ENSGT00390000012482_ENSG00000007080	motif	1.214450327	19	13	2	0.105263157895	1
ZNF560	ENSGT00910000144146_ENSG00000198028_zf-H2C2_2	C2H2-zf	4.85252361673	76	15	8	0.105263157895	9
PRPSAP1	ENSGT00550000074583_ENSG00000161542	motif	0.452523616734	10	15	1	0.1	1
MLLT3	ENSGT00440000039936_ENSG00000171843	motif	0.617077659183	10	11	1	0.1	1
DNAJB9	ENSGT00760000118947_ENSG00000128590	motif	0.424240890688	10	16	1	0.1	1
RHBDF2	ENSGT00390000012532_ENSG00000129667	motif	0.424240890688	10	16	1	0.1	1
RPS6KL1	ENSGT00890000139413_ENSG00000198208	motif	0.522142634693	10	13	1	0.1	1
ARFGAP1	ENSGT00890000139515_ENSG00000101199	motif	0.484846732215	10	14	1	0.1	1
MYO10	ENSGT00900000140810_ENSG00000145555_PH	PH	0.484846732215	10	14	1	0.1	1
ZYG11A	ENSGT00530000063187_ENSG00000203995_LRR_4	LRR	0.357255486895	10	19	1	0.1	2
HEMGN	ENSGT00390000004522_ENSG00000136929	motif	9.69696356275	42	4	4	0.0952380952381	1
NEB	ENSGT00530000062924_ENSG00000183091_Nebulin	Nebulin	5.98674089069	99	16	9	0.0909090909091	1
CFAP47	ENSGT00910000144234_ENSG00000165164_ASH	PapD-like	0.648987854251	11	12	1	0.0909090909091	1
SAMD3	ENSGT00390000012396_ENSG00000164483	motif	0.973481781377	11	8	1	0.0909090909091	1
MRS2	ENSGT00390000009988_ENSG00000124532	motif	0.599065711616	11	13	1	0.0909090909091	1
DHCR24	ENSGT00390000008338_ENSG00000116133	motif	0.556275303644	11	14	1	0.0909090909091	1
TMCO4	ENSGT00390000001400_ENSG00000162542	motif	0.599065711616	11	13	1	0.0909090909091	1
GEM	ENSGT00860000133672_ENSG00000164949	motif	0.599065711616	11	13	1	0.0909090909091	1
CIRBP	ENSGT00710000106295_ENSG00000099622	motif	0.707986750092	11	11	1	0.0909090909091	1
INTS14	ENSGT00390000009486_ENSG00000138614	motif	0.556275303644	11	14	1	0.0909090909091	1
BRD3	ENSGT00920000148952_ENSG00000169925	motif	0.458109073589	11	17	1	0.0909090909091	1
REM2	ENSGT00860000133672_ENSG00000139890	motif	0.648987854251	11	12	1	0.0909090909091	1
MSN	ENSGT00920000148976_ENSG00000147065	motif	0.458109073589	11	17	1	0.0909090909091	1
SNX4	ENSGT00910000144107_ENSG00000114520	motif	0.519190283401	11	15	1	0.0909090909091	1
CNP	ENSGT00510000048410_ENSG00000173786	motif	0.707986750092	11	11	1	0.0909090909091	1
ZNF426	ENSGT00910000144146_ENSG00000130818_zf-H2C2_2	C2H2-zf	4.18585695007	66	15	6	0.0909090909091	9
ZNF558	ENSGT00840000129830_ENSG00000167785_zf-H2C2_2	C2H2-zf	2.08753936122	22	9	2	0.0909090909091	7
LDB2	ENSGT00390000005639_ENSG00000169744	motif	0.585856950067	12	15	1	0.0833333333333	1
POR	ENSGT00840000129757_ENSG00000127948	motif	0.585856950067	12	15	1	0.0833333333333	1
MED19	ENSGT00390000001774_ENSG00000156603	motif	0.732321187584	12	12	1	0.0833333333333	1
ATL3	ENSGT00390000008959_ENSG00000184743	motif	0.732321187584	12	12	1	0.0833333333333	1
SEC16A	ENSGT00530000063746_ENSG00000148396	motif	0.675988788539	12	13	1	0.0833333333333	1
MRPL37	ENSGT00390000000867_ENSG00000116221	motif	0.627703875072	12	14	1	0.0833333333333	1
AS3MT	ENSGT00390000001742_ENSG00000214435	motif	0.675988788539	12	13	1	0.0833333333333	1
UBLCP1	ENSGT00390000010107_ENSG00000164332	motif	0.585856950067	12	15	1	0.0833333333333	1
TMOD4	ENSGT00760000119226_ENSG00000163157	motif	0.627703875072	12	14	1	0.0833333333333	1
ATXN10	ENSGT00390000010377_ENSG00000130638_Atx10homo_assoc	Atx10homo_assoc	0.627703875072	12	14	1	0.0833333333333	1
ZYG11B	ENSGT00530000063187_ENSG00000162378_LRR_4	LRR	0.46251864479	12	19	1	0.0833333333333	2
SEMA3F	ENSGT00760000118854_ENSG00000001617	motif	0.611740890688	13	16	1	0.0769230769231	1
ACADVL	ENSGT00760000119007_ENSG00000072778	motif	0.88980493191	13	11	1	0.0769230769231	1
SGO2	ENSGT00390000016383_ENSG00000163535	motif	0.815654520918	13	12	1	0.0769230769231	1
TMEM67	ENSGT00390000010606_ENSG00000164953	motif	0.699132446501	13	14	1	0.0769230769231	1
CHEK1	ENSGT00680000099954_ENSG00000149554	motif	0.699132446501	13	14	1	0.0769230769231	1
LIMK1	ENSGT00530000063025_ENSG00000106683	motif	0.575756132412	13	17	1	0.0769230769231	1
CBS	ENSGT00510000047027_ENSG00000160200	motif	0.466088297667	13	21	1	0.0769230769231	2
FCRLB	ENSGT00760000119130_ENSG00000162746_Ig_2	Ig	0.247790148448	27	96	2	0.0740740740741	16
CR1L	ENSGT00760000118803_ENSG00000197721_Sushi	EGF	3.33939271255	70	20	5	0.0714285714286	3
FRMD3	ENSGT00760000118823_ENSG00000172159	motif	0.829834942386	14	13	1	0.0714285714286	1
ZCCHC17	ENSGT00510000047363_ENSG00000121766	motif	0.719190283401	14	15	1	0.0714285714286	1
ZNF2	ENSGT00920000149024_ENSG00000275111_zf-H2C2_2	C2H2-zf	4.87235921973	164	33	11	0.0670731707317	6
MARS2	ENSGT00550000075136_ENSG00000247626_tRNA-synt_1	HUP	0.841989589358	15	14	1	0.0666666666667	1
USP9X	ENSGT00760000119158_ENSG00000124486	motif	1.68397917872	15	7	1	0.0666666666667	2
CKMT1A	ENSGT00550000074561_ENSG00000223572	motif	0.841989589358	15	14	1	0.0666666666667	2
ZNF582	ENSGT00840000129704_ENSG00000018869_zf-H2C2_2	C2H2-zf	1.53724696356	77	48	5	0.0649350649351	24
DIAPH1	ENSGT00760000118986_ENSG00000131504	motif	3.19865047233	32	9	2	0.0625	1
MRTO4	ENSGT00390000006238_ENSG00000053372	motif	0.852523616734	16	15	1	0.0625	1
FAM122B	ENSGT00390000015476_ENSG00000156504	motif	0.852523616734	16	15	1	0.0625	1
ZNF274	ENSGT00910000144197_ENSG00000171606_zf-H2C2_2	C2H2-zf	3.98232118758	51	12	3	0.0588235294118	3
SF3B1	ENSGT00390000018393_ENSG00000115524_HEAT	TPR	1.05627530364	18	14	1	0.0555555555556	1
ZNF317	ENSGT00840000129830_ENSG00000130803_zf-H2C2_2	C2H2-zf	3.97642825011	39	9	2	0.0512820512821	7
KRTAP4-1	ENSGT00880000137902_ENSG00000198443_Keratin_B2_2	Keratin_assoc	1.83186626616	60	31	3	0.05	12
YTHDF1	ENSGT00390000017549_ENSG00000149658	motif	1.04634436771	21	17	1	0.047619047619	1
MAPKAP1	ENSGT00390000000642_ENSG00000119487	motif	1.27056101793	21	14	1	0.047619047619	1
ZNF688	ENSGT00560000077257_ENSG00000229809_zf-H2C2_2	C2H2-zf	1.36829648085	21	13	1	0.047619047619	6
ZFP30	ENSGT00840000129704_ENSG00000120784_zf-H2C2_2	C2H2-zf	3.0580802969	150	48	7	0.0466666666667	24
CCDC136	ENSGT00530000063197_ENSG00000128596	motif	1.17424089069	22	16	1	0.0454545454545	2
ZNF562	ENSGT00910000144146_ENSG00000171466_zf-H2C2_2	C2H2-zf	4.3191902834	68	15	3	0.0441176470588	9
XRCC6	ENSGT00390000001422_ENSG00000196419	motif	1.3191902834	23	15	1	0.0434782608696	1
RBM6	ENSGT00510000046476_ENSG00000004534	motif	1.64898785425	23	12	1	0.0434782608696	1
ZNF449	ENSGT00920000149113_ENSG00000173275_zf-H2C2_2	C2H2-zf	3.2979757085	23	6	1	0.0434782608696	2
ZNF394	ENSGT00920000149113_ENSG00000160908_zf-H2C2_2	C2H2-zf	3.2979757085	23	6	1	0.0434782608696	2
