ensembl_gene_id	genetree_id	gene_symbol	prd_score	identifier	netto_dup	loss	orthologs_cnt	clan	unit_cv	selectome	schaper_pos	mis_z	pLI	gt_dup	gt_root	segdup
ENSG00000168477	ENSGT00920000148942	TNXB	5.9775861532	ENSGT00920000148942_ENSG00000168477_fn3	80	73	13	E-set	0.7839846879	False	False	2.9963863765	0.7741537519	2	t7742	True
ENSG00000159140	ENSGT00730000111141	SON	5.677154998	ENSGT00730000111141_ENSG00000159140	25	12	4	motif	0.1673476062	False	False	0.8193481826	0.9999999101	3	t117571	True
ENSG00000196652	ENSGT00920000149125	ZKSCAN5	5.412068888	ENSGT00920000149125_ENSG00000196652_zf-H2C2_2	51	36	9	C2H2-zf	0.4535999908	False	False	0.724074631	0.0006183025	4	t32524	False
ENSG00000167685	ENSGT00920000149125	ZNF444	5.0787355547	ENSGT00920000149125_ENSG00000167685_zf-H2C2_2	48	53	9	C2H2-zf	0.4535999908	False	False	2.3127907074	0.6917141094	4	t32524	False
ENSG00000137812	ENSGT00410000025918	KNL1	4.5708619992	ENSGT00410000025918_ENSG00000137812	48	177	10	motif	0.305935024	False		NA	NA	1	t117571	False
ENSG00000196381	ENSGT00530000064407	ZNF781	4.4791871423	ENSGT00530000064407_ENSG00000196381	65	45	14	motif	0.4753247006	False		-0.7871602493	7.22160643082e-06	9	t32524	False
ENSG00000179922	ENSGT00910000144318	ZNF784	4.427154998	ENSGT00910000144318_ENSG00000179922_zf-H2C2_2	20	2	4	C2H2-zf	0.425523159	False	False	1.8198423361	0.3526941443	1	t32524	False
ENSG00000101544	ENSGT00530000063631	ADNP2	4.3009577769	ENSGT00530000063631_ENSG00000101544	41	82	9	motif	0.3241971718	False	False	0.0271218592	0.346937921	1	t117571	False
ENSG00000070814	ENSGT00730000111382	TCOF1	4.2440885703	ENSGT00730000111382_ENSG00000070814_Treacle	32	74	7	Treacle	0.249431599	False		-1.2442852213	0.7652328627	0	t117571	False
ENSG00000171606	ENSGT00910000144197	ZNF274	4.059051666	ENSGT00910000144197_ENSG00000171606_zf-H2C2_2	51	183	12	C2H2-zf	0.454528045	False	False	0.9428713538	0.0072498219	7	t32524	False
ENSG00000099326	ENSGT00730000111047	MZF1	3.9583742846	ENSGT00730000111047_ENSG00000099326_zf-H2C2_2	30	15	7	C2H2-zf	0.0370461127	False	False	0.7584835877	1.81494742445e-06	1	t32524	False
ENSG00000275111	ENSGT00920000149024	ZNF2	3.7184430301	ENSGT00920000149024_ENSG00000275111_zf-H2C2_2	125	464	33	C2H2-zf	0.2892127245	False	False	0.9784923674	0.2981048569	20	t32523	False
ENSG00000130182	ENSGT00730000111047	ZSCAN10	3.6726599988	ENSGT00730000111047_ENSG00000130182_zf-H2C2_2	28	16	7	C2H2-zf	0.0370461127	False	False	1.8855065923	0.0060660619	1	t32524	False
ENSG00000136155	ENSGT00530000063872	SCEL	3.588577499	ENSGT00530000063872_ENSG00000136155	31	67	8	motif	0.7545151616	False		-1.2682411062	5.00221967905e-12	1	t117571	False
ENSG00000137656	ENSGT00390000014500	BUD13	3.4791871423	ENSGT00390000014500_ENSG00000137656	51	168	14	motif	0.4911599046	True	True	-0.6611892478	0.0022954285	2	t117571	False
ENSG00000116539	ENSGT00780000121845	ASH1L	3.3869457131	ENSGT00780000121845_ENSG00000116539	26	24	7	motif	0.0524863881	False	False	3.0473465662	1	0	t117571	True
ENSG00000131504	ENSGT00760000118986	DIAPH1	3.3009577769	ENSGT00760000118986_ENSG00000131504	32	146	9	motif	0.405949408	False		2.3667471032	0.267109674	1	t117571	False
ENSG00000149177	ENSGT00900000140785	PTPRJ	3.2852784609	ENSGT00900000140785_ENSG00000149177_fn3	45	84	13	E-set	0.2159423154	False	True	0.7629951592	2.38654353396e-05	2	t117571	False
ENSG00000110104	ENSGT00390000017281	CCDC86	3.177154998	ENSGT00390000017281_ENSG00000110104	15	4	4	motif	0.2020305089	False	False	1.175582148	0.001477357	0	t117571	False
ENSG00000163209	ENSGT00730000111065	SPRR3	2.9708619992	ENSGT00730000111065_ENSG00000163209_Cornifin	32	29	10	Cornifin	0.4706117441	False	False	-3.4510110306	0.0060429671	6	t32525	False
ENSG00000177932	ENSGT00910000144323	ZNF354C	2.9417239984	ENSGT00910000144323_ENSG00000177932_zf-H2C2_2	17	10	5	C2H2-zf	0.5043713868	False	False	-0.3966473822	0.000135489	1	t117571	False
ENSG00000165494	ENSGT00440000034259	PCF11	2.8363299994	ENSGT00440000034259_ENSG00000165494	42	182	14	motif	0.4556297068	False	False	1.1432258056	0.999999874	2	t117571	False
ENSG00000171469	ENSGT00910000144146	ZNF561	2.7805746661	ENSGT00910000144146_ENSG00000171469_zf-H2C2_2	44	238	15	C2H2-zf	0.2861054177	False	False	-1.9068475151	0.0097625472	11	t9347	True
ENSG00000169031	ENSGT00900000140804	COL4A3	2.7317887495	ENSGT00900000140804_ENSG00000169031_Collagen	46	630	16	Collagen	0.2902865029	False	False	0.3163766387	7.5755e-05	2	t7742	False
ENSG00000155816	ENSGT00870000136417	FMN2	2.6708619992	ENSGT00870000136417_ENSG00000155816_Drf_FH1	29	132	10	Drf_FH1	0.616140917	False	False	1.4207808959	0.9945026092	1	t117571	True
ENSG00000107581	ENSGT00730000111063	EIF3A	2.6220442851	ENSGT00730000111063_ENSG00000107581	39	170	14	motif	0.3040538844	False		4.2407211461	0.9999999996	1	t117571	True
ENSG00000160908	ENSGT00920000149113	ZNF394	2.2847699987	ENSGT00920000149113_ENSG00000160908_zf-H2C2_2	16	21	6	C2H2-zf	0	False	False	0.9982025974	0.0433348238	2	t32524	False
ENSG00000138778	ENSGT00910000143992	CENPE	2.2462381811	ENSGT00910000143992_ENSG00000138778	27	157	11	motif	0.2401883064	False	False	-1.1399951797	0.6458406437	1	t117571	False
ENSG00000164011	ENSGT00840000129916	ZNF691	2.213577499	ENSGT00840000129916_ENSG00000164011_zf-H2C2_2	20	40	8	C2H2-zf	0.2178400235	False	False	0.6457809194	0.4177586497	2	t32523	False
ENSG00000124006	ENSGT00860000133679	OBSL1	2.2096443748	ENSGT00860000133679_ENSG00000124006_I-set	73	382	32	Ig	1.4975973554	True	False	1.2743616267	6.64137887873e-16	2	t33213	False
ENSG00000163166	ENSGT00720000108834	IWS1	2.1934728566	ENSGT00720000108834_ENSG00000163166	33	177	14	motif	0.456228886	False		2.167501701	0.9864448801	2	t117571	False
ENSG00000174015	ENSGT00510000049023	SPERT	2.088577499	ENSGT00510000049023_ENSG00000174015	19	39	8	motif	0.2801749986	True	False	1.1516560186	0.0005277813	0	t32524	False
ENSG00000198028	ENSGT00910000144146	ZNF560	2.0472413328	ENSGT00910000144146_ENSG00000198028_zf-H2C2_2	33	269	15	C2H2-zf	0.2861054177	False	False	-1.4218564749	7.36420867683e-10	11	t9347	False
ENSG00000168542	ENSGT00900000140789	COL3A1	1.9735109084	ENSGT00900000140789_ENSG00000168542_Collagen	24	317	11	Collagen	0.1116344023	False	False	3.1473098181	0.9999999984	0	t117571	False
ENSG00000173275	ENSGT00920000149113	ZNF449	1.9514366653	ENSGT00920000149113_ENSG00000173275_zf-H2C2_2	14	25	6	C2H2-zf	0	False	False	1.9002398297	0.871457179	2	t32524	False
ENSG00000128159	ENSGT00850000132278	TUBGCP6	1.9006630763	ENSGT00850000132278_ENSG00000128159	27	72	13	motif	0.4827702659	False	True	-0.996954093	5.08953781747e-19	3	t117571	False
ENSG00000129566	ENSGT00910000144185	TEP1	1.8565133324	ENSGT00910000144185_ENSG00000129566_WD40	19	15	9	Beta_propeller	0.1029430793	False	True	-1.0476558677	4.51417224705e-24	0	t7742	False
ENSG00000130818	ENSGT00910000144146	ZNF426	1.8472413328	ENSGT00910000144146_ENSG00000130818_zf-H2C2_2	30	228	15	C2H2-zf	0.2861054177	False	False	-0.9828324854	5.94845054621e-13	11	t9347	False
ENSG00000197721	ENSGT00760000118803	CR1L	1.8354309996	ENSGT00760000118803_ENSG00000197721_Sushi	39	198	20	EGF	0.7363240782	False	False	-0.1998161445	3.55709649735e-15	6	t32524	True
ENSG00000198816	ENSGT00920000149100	ZNF358	1.7942887495	ENSGT00920000149100_ENSG00000198816_zf-H2C2_2	31	84	16	C2H2-zf	0.2184792841	False	False	4.9097631042	0.8670253296	5	t117571	False
ENSG00000004534	ENSGT00510000046476	RBM6	1.7257183327	ENSGT00510000046476_ENSG00000004534	23	138	12	motif	0.3664124658	False	False	1.3533651274	0.9999999636	2	t117571	False
ENSG00000169957	ENSGT00920000149100	ZNF768	1.6692887495	ENSGT00920000149100_ENSG00000169957_zf-H2C2_2	29	73	16	C2H2-zf	0.2184792841	False	False	3.1675575213	0.5793055802	5	t117571	False
ENSG00000218891	ENSGT00920000149164	ZNF579	1.618103332	ENSGT00920000149164_ENSG00000218891_zf-C2H2	12	13	6	C2H2-zf	0.2644374391	False	False	NA	NA	1	t32524	False
ENSG00000131981	ENSGT00760000119105	LGALS3	1.4757183327	ENSGT00760000119105_ENSG00000131981	20	80	12	motif	0.4664366572	True	False	-0.6648545792	0.0001751139	0	t117571	False
ENSG00000126001	ENSGT00730000110800	CEP250	1.4757183327	ENSGT00730000110800_ENSG00000126001_Rootletin	20	90	12	Rootletin	0.4345671744	False	False	-0.4010073253	8.25125524749e-17	0	t117571	False
ENSG00000171466	ENSGT00910000144146	ZNF562	1.4472413328	ENSGT00910000144146_ENSG00000171466_zf-H2C2_2	24	260	15	C2H2-zf	0.2861054177	False	False	-0.0140166536	0.1396798961	11	t9347	True
ENSG00000198795	ENSGT00840000129874	ZNF521	1.4280563629	ENSGT00840000129874_ENSG00000198795_zf-C2H2_4	18	99	11	C2H2-zf	0.5165020015	False	False	2.1639115175	0.9999793507	1	t117571	False
ENSG00000196456	ENSGT00840000129964	ZNF775	1.4280563629	ENSGT00840000129964_ENSG00000196456_zf-C2H2	18	56	11	C2H2-zf	0.3920341398	False	False	3.5690967527	0.0122292592	3	t32524	False
ENSG00000196419	ENSGT00390000001422	XRCC6	1.3805746661	ENSGT00390000001422_ENSG00000196419	23	48	15	motif	0.2748409867	False		3.0632925027	0.9968558528	2	t117571	False
ENSG00000119487	ENSGT00390000000642	MAPKAP1	1.3363299994	ENSGT00390000000642_ENSG00000119487	21	17	14	motif	0.0680301343	False		2.9446828941	0.9997365985	1	t117571	True
ENSG00000170835	ENSGT00760000118946	CEL	1.309051666	ENSGT00760000118946_ENSG00000170835	18	9	12	motif	1.885272447	True	False	1.9412953587	6.34004798807e-05	3	t117571	True
ENSG00000111676	ENSGT00580000081398	ATN1	1.3009577769	ENSGT00580000081398_ENSG00000111676	14	37	9	motif	0.326390276	False	False	2.4326282835	0.9985331072	1	t117571	False
ENSG00000007080	ENSGT00390000012482	CCDC124	1.2852784609	ENSGT00390000012482_ENSG00000007080	19	5	13	motif	0.1948946635	False		0.7300908039	0.3169570114	1	t117571	False
ENSG00000128596	ENSGT00530000063197	CCDC136	1.2317887495	ENSGT00530000063197_ENSG00000128596	22	63	16	motif	0.5998846487	False	False	-0.8976775383	4.88758232322e-08	1	t117571	False
ENSG00000240542	ENSGT00890000139484	KRTAP9-1	1.208355384	ENSGT00890000139484_ENSG00000240542_Keratin_B2_2	18	81	13	Keratin_assoc	0.3220965812	False	False	-1.0139865223	0.0013980907	11	t9347	False
ENSG00000119397	ENSGT00920000149086	CNTRL	1.208355384	ENSGT00920000149086_ENSG00000119397_LRR_4	18	81	13	LRR	0.5222297531	True	False	-2.3763316568	4.1699870962e-35	6	t117571	False
ENSG00000221880	ENSGT00730000111060	KRTAP1-3	1.1898466658	ENSGT00730000111060_ENSG00000221880_Keratin_B2	13	22	9	Keratin_assoc	0.3607842697	False		0.3149651318	0.6539959312	6	t40674	False
ENSG00000064393	ENSGT00760000119032	HIPK2	1.1898466658	ENSGT00760000119032_ENSG00000064393	13	23	9	motif	0	False		2.6709791418	0.9983464202	0	t117571	False
ENSG00000171161	ENSGT00730000111556	ZNF672	1.177154998	ENSGT00730000111556_ENSG00000171161_zf-H2C2_2	7	7	4	C2H2-zf	0.064516129	False	False	3.0570147351	0.0001275411	0	t32525	False
ENSG00000198431	ENSGT00390000007578	TXNRD1	1.1708619992	ENSGT00390000007578_ENSG00000198431	14	21	10	motif	0.0771287234	False		-0.2438614621	0.0023375472	0	t32523	False
ENSG00000132688	ENSGT00730000110953	NES	1.1423849993	ENSGT00730000110953_ENSG00000132688	16	37	12	motif	0.6654286588	True		0.2513502738	2.06955630736e-05	0	t117571	False
ENSG00000149658	ENSGT00390000017549	YTHDF1	1.1005070584	ENSGT00390000017549_ENSG00000149658	21	9	17	motif	0.115220304	False		1.7106085456	0.983709939	3	t117571	False
ENSG00000049540	ENSGT00730000111510	ELN	1.088577499	ENSGT00730000111510_ENSG00000049540	11	37	8	motif	0.6125222419	False		0.1877867327	1.51996287414e-05	0	t32524	False
ENSG00000105429	ENSGT00390000001118	MEGF8	1.0708619992	ENSGT00390000001118_ENSG00000105429_Kelch_4	13	91	10	Beta_propeller	0.3960450673	False		3.2766872853	0.9731372044	5	t33213	False
ENSG00000139618	ENSGT00390000003602	BRCA2	1.0708619992	ENSGT00390000003602_ENSG00000139618_BRCA2	13	42	10	BRCA2	0.3238242001	False		-4.7148695395	2.21312120662e-15	1	t117571	False
ENSG00000116350	ENSGT00910000144049	SRSF4	1.059051666	ENSGT00910000144049_ENSG00000116350	15	102	12	motif	0.438178046	False	False	2.5648876995	0.9347626972	0	t117571	False
ENSG00000188283	ENSGT00840000129704	ZNF383	1.0564295832	ENSGT00840000129704_ENSG00000188283_zf-H2C2_2	53	831	48	C2H2-zf	0.2161416666	False	False	0.0299742136	6.27662995876e-08	32	t32525	False
ENSG00000168496	ENSGT00640000091478	FEN1	1.0545092302	ENSGT00640000091478_ENSG00000168496	16	32	13	motif	0	True		1.1057639605	3.47774227504e-05	0	t117571	True
ENSG00000167395	ENSGT00920000148986	ZNF646	1.0472413328	ENSGT00920000148986_ENSG00000167395_zf-C2H2	18	191	15	C2H2-zf	0.1855015516	False	False	0.4026651509	0.0055653605	1	t117571	False
ENSG00000237289	ENSGT00550000074561	CKMT1B	0.9791871423	ENSGT00550000074561_ENSG00000237289	16	15	14	motif	0	False		2.0505613817	0.073210647	1	t117571	True
ENSG00000110274	ENSGT00730000111178	CEP164	0.9775861532	ENSGT00730000111178_ENSG00000110274	15	121	13	motif	0.2986643367	False	False	-0.8286590303	9.66879225304e-18	5	t117571	True
ENSG00000130803	ENSGT00840000129830	ZNF317	0.9676244435	ENSGT00840000129830_ENSG00000130803_zf-H2C2_2	11	71	9	C2H2-zf	0.2079307987	False	False	2.0089439559	0.0157065703	6	t9347	False
ENSG00000143067	ENSGT00820000127150	ZNF697	0.963577499	ENSGT00820000127150_ENSG00000143067_zf-H2C2_2	10	2	8	C2H2-zf	0.2661083589	False	False	2.5161654643	0.1910810269	1	t32524	False
ENSG00000230062	ENSGT00610000086772	ANKRD66	0.9583742846	ENSGT00610000086772_ENSG00000230062_Ank_5	9	3	7	Ank	0.1322875656	False	False	NA	NA	0	t117571	False
ENSG00000181007	ENSGT00840000129704	ZFP82	0.9314295832	ENSGT00840000129704_ENSG00000181007_zf-H2C2_2	47	747	48	C2H2-zf	0.2161416666	False	False	1.5374693588	0.0523308002	32	t32525	False
ENSG00000090470	ENSGT00390000017392	PDCD7	0.927154998	ENSGT00390000017392_ENSG00000090470	6	7	4	motif	0.5254846547	False		3.5894449435	0.0453747936	1	t117571	False
ENSG00000162520	ENSGT00390000018108	SYNC	0.927154998	ENSGT00390000018108_ENSG00000162520	6	2	4	motif	0.4018412065	False		0.8078432477	0.0416853059	1	t117571	True
ENSG00000053372	ENSGT00390000006238	MRTO4	0.9139079995	ENSGT00390000006238_ENSG00000053372	16	13	15	motif	0.0880223488	True		-0.9334445321	0.8699779204	2	t117571	False
ENSG00000156504	ENSGT00390000015476	FAM122B	0.9139079995	ENSGT00390000015476_ENSG00000156504	16	30	15	motif	0.2528497194	False		1.3609120373	0.757591089	1	t117571	False
ENSG00000081052	ENSGT00900000140804	COL4A4	0.9139079995	ENSGT00900000140804_ENSG00000081052_Collagen	16	549	15	Collagen	0.2226523539	False	False	-0.2972583749	1.68977859996e-08	3	t117571	False
ENSG00000223572	ENSGT00550000074561	CKMT1A	0.9077585709	ENSGT00550000074561_ENSG00000223572	15	18	14	motif	0	False		1.859694385	0.0141217929	1	t117571	True
ENSG00000134871	ENSGT00900000140804	COL4A2	0.9077585709	ENSGT00900000140804_ENSG00000134871_Collagen	15	456	14	Collagen	0.1676806399	False	False	1.7637623867	2.1092869233e-06	0	t117571	False
ENSG00000172159	ENSGT00760000118823	FRMD3	0.9006630763	ENSGT00760000118823_ENSG00000172159	14	15	13	motif	0	False		0.0920127794	0.1952150617	0	t117571	False
ENSG00000203485	ENSGT00760000118986	INF2	0.9006630763	ENSGT00760000118986_ENSG00000203485	14	72	13	motif	0.3370944236	True	True	2.4917562506	0.9990832878	3	t117571	False
ENSG00000168071	ENSGT00690000101702	CCDC88B	0.8708619992	ENSGT00690000101702_ENSG00000168071	11	129	10	motif	0.3050033669	False	False	1.1031879371	0.0009290452	0	t7742	False
ENSG00000170807	ENSGT00760000119226	LMOD2	0.8567887495	ENSGT00760000119226_ENSG00000170807	16	37	16	motif	0.0634920635	True	False	-0.6268461326	0.0049963032	3	t117571	False
ENSG00000188581	ENSGT00730000111060	KRTAP1-1	0.8565133324	ENSGT00730000111060_ENSG00000188581_Keratin_B2	10	11	9	Keratin_assoc	0.3607842697	False		0.3583554508	0.0084429768	6	t40674	False
ENSG00000189420	ENSGT00920000149114	ZFP92	0.8472413328	ENSGT00920000149114_ENSG00000189420_zf-H2C2_2	15	137	15	C2H2-zf	0.3225778005	False	True	2.2576235153	0.5296241873	6	t32524	False
ENSG00000247626	ENSGT00550000075136	MARS2	0.8363299994	ENSGT00550000075136_ENSG00000247626_tRNA-synt_1	14	0	14	HUP	0	True		1.9158583328	1.41647403487e-06	0	t33213	False
ENSG00000129116	ENSGT00860000133679	PALLD	0.8354309996	ENSGT00860000133679_ENSG00000129116_I-set	19	68	20	Ig	1.7488971992	True	False	0.3943549238	6.63951548297e-05	7	t117571	False
ENSG00000153113	ENSGT00390000002993	CAST	0.8237399994	ENSGT00390000002993_ENSG00000153113_Calpain_inhib	13	54	13	Calpain_inhib	0.2147502406	False	False	-1.7961538942	1.55575755785e-06	0	t117571	False
ENSG00000249459	ENSGT00910000144031	ZNF286B	0.8208355384	ENSGT00910000144031_ENSG00000249459_zf-H2C2_2	109	1452	130	C2H2-zf	0.3842091316	True	True	1.8634431676	0.0037460291	90	t117571	True
ENSG00000156603	ENSGT00390000001774	MED19	0.809051666	ENSGT00390000001774_ENSG00000156603	12	7	12	motif	0.2010075631	False		0.9129856378	0.6837900514	3	t117571	False
ENSG00000184743	ENSGT00390000008959	ATL3	0.809051666	ENSGT00390000008959_ENSG00000184743	12	6	12	motif	0	True		0.8165171435	0.0003172517	1	t117571	False
ENSG00000163535	ENSGT00390000016383	SGO2	0.809051666	ENSGT00390000016383_ENSG00000163535	12	6	12	motif	0.246182982	False	False	NA	NA	3	t32524	False
ENSG00000072778	ENSGT00760000119007	ACADVL	0.7916927265	ENSGT00760000119007_ENSG00000072778	11	4	11	motif	0.1036445247	False		0.2756899692	1.31058372898e-07	0	t7742	False
ENSG00000099622	ENSGT00710000106295	CIRBP	0.7916927265	ENSGT00710000106295_ENSG00000099622	11	45	11	motif	0.2353336874	False		1.7460036327	0.6225856553	4	t117571	False
ENSG00000126391	ENSGT00530000063721	FRMD8	0.7916927265	ENSGT00530000063721_ENSG00000126391	11	6	11	motif	0.097547788	True		0.8406968479	0.0842909431	2	t117571	True
ENSG00000173786	ENSGT00510000048410	CNP	0.7916927265	ENSGT00510000048410_ENSG00000173786	11	2	11	motif	0.1490711985	True		2.5333379179	0.8908882521	0	t117571	False
ENSG00000197565	ENSGT00900000140804	COL4A6	0.7916927265	ENSGT00900000140804_ENSG00000197565_Collagen	11	369	11	Collagen	0.1228118266	False		0.1852043594	0.9909882662	0	t117571	True
ENSG00000198739	ENSGT00920000148957	LRRTM3	0.7916927265	ENSGT00920000148957_ENSG00000198739_LRR_8	11	87	11	LRR	0.0406557814	False	False	2.5348394852	0.8526451213	0	t117571	False
ENSG00000242732	ENSGT00510000047956	RTL5	0.7847699987	ENSGT00510000047956_ENSG00000242732	7	1	6	motif	0.7888106377	False		NA	NA	7	t9347	False
ENSG00000100764	ENSGT00550000074818	PSMC1	0.7805746661	ENSGT00550000074818_ENSG00000100764	14	67	15	motif	0.1335511499	False		4.4793168057	0.9957288906	4	t33213	False
ENSG00000121766	ENSGT00510000047363	ZCCHC17	0.7805746661	ENSGT00510000047363_ENSG00000121766	14	14	15	motif	0	False		-0.4899863918	0.2151475903	2	t117571	False
ENSG00000007372	ENSGT00680000099553	PAX6	0.7708619992	ENSGT00680000099553_ENSG00000007372	10	44	10	motif	0	False		3.637786528	0.9988078974	0	t117571	False
ENSG00000164953	ENSGT00390000010606	TMEM67	0.764901428	ENSGT00390000010606_ENSG00000164953	13	12	14	motif	0.1528567793	False		-0.4757100298	1.21202254456e-17	5	t117571	False
ENSG00000149554	ENSGT00680000099954	CHEK1	0.764901428	ENSGT00680000099954_ENSG00000149554	13	12	14	motif	0	True		1.3201344988	0.0002491103	0	t117571	False
ENSG00000214435	ENSGT00390000001742	AS3MT	0.7468169225	ENSGT00390000001742_ENSG00000214435	12	5	13	motif	0.0948829283	True		0.9148213536	5.09137965874e-07	1	t117571	True
ENSG00000129219	ENSGT00390000008356	PLD2	0.7454022213	ENSGT00390000008356_ENSG00000129219	9	23	9	motif	0.1334356819	False		-0.3053040889	8.12711920535e-14	0	t7742	False
ENSG00000180479	ENSGT00840000129704	ZNF571	0.7439295832	ENSGT00840000129704_ENSG00000180479_zf-H2C2_2	38	793	48	C2H2-zf	0.2161416666	False	False	-1.7145772615	2.82738476091e-09	32	t32525	False
ENSG00000147789	ENSGT00910000144031	ZNF7	0.7285278461	ENSGT00910000144031_ENSG00000147789_zf-H2C2_2	97	1516	130	C2H2-zf	0.381671805	True	True	-0.9788133408	0.000238234	90	t117571	False
ENSG00000149577	ENSGT00390000010091	SIDT2	0.7257183327	ENSGT00390000010091_ENSG00000149577	11	4	12	motif	0.2571766901	True		2.931136701	0.0025724011	1	t117571	False
ENSG00000139890	ENSGT00860000133672	REM2	0.7257183327	ENSGT00860000133672_ENSG00000139890	11	4	12	motif	0.093624368	False		2.0312313476	0.0005024061	1	t117571	False
ENSG00000196277	ENSGT00760000118884	GRM7	0.7139079995	ENSGT00760000118884_ENSG00000196277	13	42	15	motif	0.3328713326	False		2.9597347926	0.9991690687	4	t117571	True
ENSG00000155085	ENSGT00740000115564	AK9	0.7139079995	ENSGT00740000115564_ENSG00000155085_ADK	13	32	15	P-loop_NTPase	0.4203322233	False	False	-0.3481765326	7.09554971028e-12	1	t117571	False
ENSG00000166477	ENSGT00550000074952	LEO1	0.7139079995	ENSGT00550000074952_ENSG00000166477	13	182	15	motif	0.4325036847	False	False	1.9076772747	0.9996059697	1	t117571	False
ENSG00000101134	ENSGT00730000110348	DOK5	0.7007836356	ENSGT00730000110348_ENSG00000101134	10	35	11	motif	0.1129105984	False		1.1823601581	0.0439811915	0	t117571	False
ENSG00000150967	ENSGT00550000074497	ABCB9	0.6934728566	ENSGT00550000074497_ENSG00000150967	12	13	14	motif	0.2170155787	False		0.4386228267	0.0029011076	0	t117571	False
ENSG00000116221	ENSGT00390000000867	MRPL37	0.6934728566	ENSGT00390000000867_ENSG00000116221	12	4	14	motif	0.0912599363	False		0.8082080172	0.0002683712	0	t117571	False
ENSG00000163157	ENSGT00760000119226	TMOD4	0.6934728566	ENSGT00760000119226_ENSG00000163157	12	7	14	motif	0.1426804616	False	False	0.5620093744	1.33270686837e-07	1	t117571	False
ENSG00000130638	ENSGT00390000010377	ATXN10	0.6934728566	ENSGT00390000010377_ENSG00000130638_Atx10homo_assoc	12	30	14	Atx10homo_assoc	0.1444485535	False		-1.4261549567	0.7451629235	0	t117571	False
ENSG00000187498	ENSGT00900000140804	COL4A1	0.6934728566	ENSGT00900000140804_ENSG00000187498_Collagen	12	442	14	Collagen	0.0891403082	True	False	2.4640825406	0.9999999812	0	t117571	False
ENSG00000188997	ENSGT00760000119013	KCTD21	0.6708619992	ENSGT00760000119013_ENSG00000188997	9	13	10	motif	0.0810840426	False		0.8020470153	0.2911085964	0	t117571	False
